대학명,계열,학점,토익,토스,오픽,자격증,수상경험,인턴,해외경험,봉사활동,기업명,부서
조선대학교,기계/자동차/조선공학,4.23 / 4.5,810,L6,없음,3개,0회,0회,1회,3회,여천NCC㈜,기계
성균관대학교(자연과학),기계/자동차/조선공학,3.88 / 4.5,790,없음,없음,1개,0회,0회,0회,1회,아시아나항공㈜,기술직
동명대학교,기계/자동차/조선공학,4.16 / 4.5,865,L6,없음,2개,0회,0회,0회,0회,한국가스공사,기술직
서울과학기술대학교,기계/자동차/조선공학,3.84 / 4.5,805,L5,없음,0개,0회,1회,3회,1회,㈜유니드,생산관리
경북대학교,기계/자동차/조선공학,3.18 / 4.5,440,없음,IL,1개,0회,0회,0회,0회,㈜케이피케미칼,공무
전북대학교,기계/자동차/조선공학,3.71 / 4.5,650,없음,없음,0개,0회,0회,0회,0회,한국타이어㈜,생산관리
숭실대학교,기계/자동차/조선공학,2.5 / 4.5,없음,없음,IL,0개,0회,0회,0회,0회,두산중공업㈜,기계
영남대학교,기계/자동차/조선공학,3.2 / 4.5,750,없음,IL,0개,1회,0회,0회,0회,SK실트론,기계·기구설계
영남대학교,기계/자동차/조선공학,3.8 / 4.5,725,없음,IM,1개,0회,0회,2회,1회,㈜포스코,생산관리
인하대학교,기계/자동차/조선공학,3.73 / 4.5,760,L6,없음,2개,0회,0회,0회,0회,CJ E&M㈜,플랜트
창원대학교,기계/자동차/조선공학,3.72 / 4.5,835,L6,IM,0개,0회,0회,1회,0회,㈜한화/기계,생산관리
영남대학교,기계/자동차/조선공학,4.04 / 4.5,760,없음,IL,0개,0회,0회,0회,0회,두산인프라코어㈜,생산관리
중앙대학교(서울),기계/자동차/조선공학,3.66 / 4.5,730,없음,IL,0개,0회,0회,0회,0회,OCI,기계
서울시립대학교,기계/자동차/조선공학,3.07 / 4.5,860,L5,없음,1개,0회,0회,0회,0회,㈜한화/기계,생산관리
경북대학교,기계/자동차/조선공학,3.94 / 4.5,765,L6,없음,0개,0회,0회,1회,0회,㈜LG화학,품질관리
서울시립대학교,기계/자동차/조선공학,3.07 / 4.5,860,L5,없음,1개,0회,0회,0회,0회,삼성중공업㈜,생산관리
서울과학기술대학교,기계/자동차/조선공학,3.53 / 4.5,없음,L6,없음,0개,3회,0회,0회,0회,LG전자㈜,연구·실험·기술
서울시립대학교,기계/자동차/조선공학,3.31 / 4.5,765,없음,IM,0개,0회,1회,0회,0회,LG전자㈜,연구·실험·기술
부경대학교,기계/자동차/조선공학,3.63 / 4.5,670,없음,IM,2개,0회,1회,1회,0회,삼성전자㈜,전기·전자회로
부산대학교(밀양),기계/자동차/조선공학,3.43 / 4.5,675,L5,없음,0개,2회,0회,1회,2회,한화에어로스페이스,기술직
단국대학교(경기),기계/자동차/조선공학,3.99 / 4.5,500,없음,NH,0개,0회,0회,0회,0회,한화에어로스페이스,연구·실험·기술
국민대학교,기계/자동차/조선공학,3.66 / 4.5,710,L6,IL,1개,0회,0회,1회,1회,(주)에스앤아이코퍼레이션,기계
한양대학교(서울),기계/자동차/조선공학,3.55 / 4.5,820,없음,없음,0개,0회,0회,0회,0회,현대엔지니어링㈜,플랜트
동국대학교(경주),기계/자동차/조선공학,3.5 / 4.5,없음,없음,없음,0개,0회,0회,0회,0회,(주)케이씨씨건설,플랜트
인하대학교,기계/자동차/조선공학,3.6 / 4.5,770,L6,없음,2개,0회,0회,4회,0회,삼성물산(주),플랜트
영남대학교,기계/자동차/조선공학,3.6 / 4.5,845,없음,IL,0개,0회,0회,0회,0회,삼성전자㈜,연구·실험·기술
중앙대학교(서울),기계/자동차/조선공학,3.23 / 4.5,705,없음,IL,0개,0회,0회,0회,0회,두산인프라코어㈜,연구·실험·기술
세종대학교,기계/자동차/조선공학,3.71 / 4.5,895,L6,없음,0개,0회,0회,1회,0회,(주)케이씨씨건설,플랜트
울산대학교,기계/자동차/조선공학,3.81 / 4.5,830,없음,IM,5개,0회,1회,0회,1회,삼성전자㈜,연구·실험·기술
경희대학교(서울),기계/자동차/조선공학,4.0 / 4.5,없음,없음,없음,0개,0회,1회,0회,0회,두산중공업㈜,기술직
국민대학교,기계/자동차/조선공학,4.0 / 4.5,865,없음,없음,4개,0회,1회,0회,1회,현대자동차㈜,연구·실험·기술
충남대학교,기계/자동차/조선공학,3.49 / 4.5,790,L5,없음,1개,0회,0회,0회,2회,풍림산업㈜,플랜트
홍익대학교(서울),기계/자동차/조선공학,3.87 / 4.5,800,L5,NH,1개,0회,0회,0회,0회,LG전자㈜,연구·실험·기술
충남대학교,기계/자동차/조선공학,3.8 / 4.5,880,없음,IH,0개,0회,0회,0회,0회,한국가스안전공사,기술직
영남대학교,기계/자동차/조선공학,3.7 / 4.5,810,L6,없음,0개,0회,0회,0회,0회,롯데칠성음료㈜,생산관리
부산대학교(밀양),기계/자동차/조선공학,3.7 / 4.5,770,없음,IM,0개,0회,0회,0회,0회,LG전자㈜,연구·실험·기술
한양대학교(서울),기계/자동차/조선공학,3.8 / 4.5,870,L7,IH,3개,1회,1회,1회,1회,현대파워텍㈜,기계설비
전북대학교,기계/자동차/조선공학,3.4 / 4.5,780,L6,없음,3개,2회,0회,1회,1회,한국전력공사,기술직
전북대학교,기계/자동차/조선공학,3.73 / 4.5,705,L5,없음,1개,0회,1회,1회,0회,현대파워텍㈜,연구·실험·기술
부경대학교,기계/자동차/조선공학,3.08 / 4.5,790,L6,없음,2개,0회,0회,0회,0회,한국남부발전㈜,기계
전남대학교(광주),기계/자동차/조선공학,3.61 / 4.5,740,L5,IL,1개,0회,0회,0회,1회,삼성SDI㈜,기술직
부경대학교,기계/자동차/조선공학,3.96 / 4.5,890,L6,없음,3개,0회,1회,0회,0회,한국수력원자력㈜,기계
경북대학교,기계/자동차/조선공학,3.61 / 4.5,없음,L6,IM,0개,0회,0회,0회,0회,LG디스플레이㈜,기계·기구설계
영남대학교,기계/자동차/조선공학,4.23 / 4.5,770,L6,없음,3개,0회,0회,0회,0회,한국수력원자력㈜,기계
울산대학교,기계/자동차/조선공학,3.88 / 4.5,880,L6,IM,0개,0회,0회,0회,0회,현대오일뱅크㈜,기계
전남대학교(광주),기계/자동차/조선공학,3.58 / 4.5,820,없음,IL,0개,2회,0회,0회,2회,한국환경공단,기계
홍익대학교(서울),기계/자동차/조선공학,3.16 / 4.5,765,없음,IL,0개,0회,0회,0회,0회,현대파워텍㈜,연구·실험·기술
울산대학교,기계/자동차/조선공학,3.8 / 4.5,890,없음,IM,1개,0회,0회,1회,1회,현대중공업㈜,생산관리
한양대학교(서울),기계/자동차/조선공학,3.46 / 4.5,785,L6,없음,0개,0회,0회,0회,0회,한국남동발전㈜,기계설비
영남대학교,기계/자동차/조선공학,3.7 / 4.5,810,L6,없음,0개,0회,0회,0회,0회,LG이노텍㈜,생산관리
전북대학교,기계/자동차/조선공학,3.3 / 4.5,870,없음,IM,1개,1회,0회,1회,3회,현대엔지니어링㈜,건축설계
부산대학교(밀양),기계/자동차/조선공학,3.44 / 4.5,780,없음,IM,2개,0회,0회,1회,0회,LG전자㈜,연구·실험·기술
영남대학교,기계/자동차/조선공학,3.56 / 4.5,805,L6,없음,1개,1회,1회,0회,2회,삼성전자㈜,기술직
계명대학교,기계/자동차/조선공학,3.3 / 4.5,없음,없음,없음,0개,0회,0회,0회,0회,㈜신한은행,금융영업
한국항공대학교,기계/자동차/조선공학,3.9 / 4.5,840,L6,없음,0개,0회,1회,0회,3회,현대제철㈜,생산관리
부산대학교(밀양),기계/자동차/조선공학,3.62 / 4.5,860,없음,없음,2개,0회,0회,0회,0회,현대트랜시스 주식회사,기계
전북대학교,기계/자동차/조선공학,3.62 / 4.5,660,L6,없음,0개,2회,1회,0회,0회,현대제철㈜,생산관리
부산대학교(밀양),기계/자동차/조선공학,3.55 / 4.5,없음,L6,없음,0개,1회,0회,0회,1회,한국전력공사,원자력·에너지
부산대학교(밀양),기계/자동차/조선공학,3.62 / 4.5,860,없음,없음,2개,0회,0회,0회,0회,한국도로공사,기계
전북대학교,기계/자동차/조선공학,3.3 / 4.5,없음,L6,없음,0개,0회,0회,0회,0회,현대건설㈜,건축시공
전북대학교,기계/자동차/조선공학,3.8 / 4.5,없음,L6,IM,2개,1회,1회,5회,0회,SK실트론,연구·실험·기술
경북대학교,기계/자동차/조선공학,3.5 / 4.5,없음,L5,IM,0개,0회,0회,0회,1회,두산중공업㈜,기술직
전남대학교(광주),기계/자동차/조선공학,3.63 / 4.5,690,L4,없음,4개,0회,0회,0회,3회,금호타이어㈜,생산관리
원광대학교,기계/자동차/조선공학,4.01 / 4.5,820,L7,IL,0개,0회,0회,0회,0회,㈜포스코,QAA·통화품질
전북대학교,기계/자동차/조선공학,3.4 / 4.5,780,L6,없음,3개,2회,0회,1회,1회,현대파워텍㈜,생산관리
충남대학교,기계/자동차/조선공학,3.69 / 4.5,720,L5,없음,0개,0회,0회,0회,0회,현대자동차㈜,생산관리
충남대학교,기계/자동차/조선공학,3.86 / 4.5,885,L7,없음,0개,0회,0회,0회,0회,현대케피코,OrCAD
경북대학교,기계/자동차/조선공학,3.43 / 4.5,795,L6,없음,1개,0회,0회,0회,0회,기아자동차㈜,생산관리
울산대학교,기계/자동차/조선공학,4.06 / 4.5,850,L5,없음,2개,0회,1회,0회,0회,현대위아,생산관리
국민대학교,기계/자동차/조선공학,3.69 / 4.5,840,L6,없음,0개,0회,0회,0회,0회,㈜유라코퍼레이션,연구·실험·기술
경북대학교,기계/자동차/조선공학,3.81 / 4.5,없음,없음,없음,0개,0회,0회,0회,0회,LG CNS,생산관리
성균관대학교(자연과학),기계/자동차/조선공학,3.54 / 4.5,775,L6,없음,0개,0회,0회,0회,0회,현대자동차㈜,연구·실험·기술
부산대학교(밀양),기계/자동차/조선공학,3.4 / 4.5,775,L6,없음,2개,0회,0회,0회,0회,현대모비스㈜,플랜트
부산대학교(밀양),기계/자동차/조선공학,3.8 / 4.5,730,L5,IL,1개,0회,0회,0회,1회,현대자동차㈜,생산관리
건국대학교(서울),기계/자동차/조선공학,3.61 / 4.5,775,L5,없음,4개,0회,0회,0회,1회,현대자동차㈜,연구·실험·기술
부산대학교(밀양),기계/자동차/조선공학,3.99 / 4.5,900,L7,없음,0개,0회,1회,1회,0회,현대모비스㈜,연구·실험·기술
전남대학교(광주),기계/자동차/조선공학,3.52 / 4.5,900,없음,IH,1개,1회,0회,1회,0회,현대엔지니어링㈜,건축시공
서울대학교,기계/자동차/조선공학,3.82 / 4.5,없음,L7,없음,0개,0회,0회,0회,0회,현대자동차㈜,연구·실험·기술
영남대학교,기계/자동차/조선공학,3.32 / 4.5,760,L5,없음,0개,0회,0회,0회,0회,세종공업㈜,QAA·통화품질
건국대학교(서울),기계/자동차/조선공학,3.58 / 4.5,800,L6,없음,3개,0회,0회,0회,0회,현대자동차㈜,연구·실험·기술
서울시립대학교,기계/자동차/조선공학,3.6 / 4.5,890,없음,IH,0개,1회,0회,0회,1회,㈜대우건설,건축설계
한양대학교(서울),기계/자동차/조선공학,3.78 / 4.5,780,L6,없음,0개,0회,0회,0회,0회,GS건설,플랜트
한국기술교육대학교,기계/자동차/조선공학,3.56 / 4.5,880,L6,IM,1개,0회,2회,2회,0회,현대위아,QAA·통화품질
부산대학교(밀양),기계/자동차/조선공학,3.7 / 4.5,770,없음,IM,0개,0회,0회,0회,0회,현대위아,생산관리
건국대학교(서울),기계/자동차/조선공학,3.32 / 4.5,800,L5,없음,0개,0회,0회,0회,0회,LG CNS,생산관리
한국기술교육대학교,기계/자동차/조선공학,4.02 / 4.5,745,L5,없음,1개,0회,0회,0회,0회,포스데이타㈜,기계·기구설계
한양대학교(서울),기계/자동차/조선공학,3.35 / 4.5,880,없음,IH,0개,0회,0회,1회,0회,동부건설㈜,기계·기구설계
금오공과대학교,기계/자동차/조선공학,3.61 / 4.5,825,L6,없음,1개,1회,0회,1회,3회,쌍용자동차㈜,QAA·통화품질
경북대학교,기계/자동차/조선공학,3.18 / 4.5,440,없음,IL,1개,0회,0회,0회,0회,STX메탈,생산관리
영남대학교,기계/자동차/조선공학,3.8 / 4.5,725,없음,IM,1개,0회,0회,2회,1회,롯데건설(주),건축시공
인하대학교,기계/자동차/조선공학,3.73 / 4.5,760,L6,없음,2개,0회,0회,0회,0회,기아자동차㈜,자동차·조선설계
창원대학교,기계/자동차/조선공학,3.89 / 4.5,845,L5,없음,1개,0회,0회,0회,3회,두산중공업㈜,기계·기구설계
부경대학교,기계/자동차/조선공학,4.05 / 4.5,910,없음,IM,4개,0회,1회,0회,0회,LG전자㈜,기계·기구설계
영남대학교,기계/자동차/조선공학,3.53 / 4.5,675,L5,IL,2개,0회,0회,0회,0회,두산인프라코어㈜,생산관리
서울시립대학교,기계/자동차/조선공학,3.28 / 4.5,730,L5,IL,1개,0회,0회,0회,0회,SK건설㈜,생산관리
부산대학교(밀양),기계/자동차/조선공학,3.1 / 4.5,735,L5,없음,2개,0회,0회,0회,1회,한국전력공사,기술직
부산대학교(밀양),기계/자동차/조선공학,3.1 / 4.5,735,L5,없음,2개,0회,0회,0회,1회,삼성코닝정밀소재,생산관리
성균관대학교(자연과학),기계/자동차/조선공학,3.79 / 4.5,905,없음,IM,0개,0회,0회,0회,0회,삼성물산(주),기계설비
한양대학교(서울),기계/자동차/조선공학,3.35 / 4.5,없음,없음,IL,0개,0회,0회,0회,1회,GS건설,기계·기구설계
금오공과대학교,기계/자동차/조선공학,3.86 / 4.5,805,L5,없음,2개,3회,0회,0회,1회,S&T모티브㈜,연구·실험·기술
부산대학교(밀양),기계/자동차/조선공학,3.1 / 4.5,없음,없음,IM,0개,0회,0회,0회,0회,LG전자㈜,연구·실험·기술
한양대학교(서울),기계/자동차/조선공학,3.55 / 4.5,820,없음,없음,0개,0회,0회,0회,0회,현대자동차㈜,연구·실험·기술
서울과학기술대학교,기계/자동차/조선공학,3.53 / 4.5,745,L5,IM,0개,0회,0회,0회,0회,넥센타이어㈜,실험보조
계명대학교,기계/자동차/조선공학,3.5 / 4.5,900,없음,없음,1개,0회,1회,0회,1회,현대트랜시스 주식회사,생산관리
중앙대학교(서울),기계/자동차/조선공학,3.85 / 4.5,750,없음,IL,0개,0회,0회,0회,0회,현대자동차㈜,연구·실험·기술
영남대학교,기계/자동차/조선공학,3.2 / 4.5,없음,없음,IL,0개,0회,0회,0회,1회,삼성엔지니어링㈜,기술영업(IT)
국민대학교,기계/자동차/조선공학,4.0 / 4.5,865,없음,없음,4개,0회,1회,0회,1회,현대엔지니어링㈜,건축설계
울산대학교,기계/자동차/조선공학,3.64 / 4.5,610,L5,없음,5개,0회,0회,0회,0회,현대중공업㈜,생산관리
숭실대학교,기계/자동차/조선공학,3.7 / 4.5,835,L6,없음,2개,0회,0회,0회,0회,현대트랜시스 주식회사,생산관리
동아대학교,기계/자동차/조선공학,3.8 / 4.5,810,없음,없음,0개,0회,0회,0회,3회,코오롱플라스틱㈜,공정관리
동아대학교,기계/자동차/조선공학,4.02 / 4.5,800,없음,IM,0개,0회,0회,0회,0회,롯데푸드㈜,생산관리
인천대학교,기계/자동차/조선공학,3.84 / 4.5,895,L6,없음,2개,0회,0회,0회,0회,㈜한라,건축설비
부산대학교(밀양),기계/자동차/조선공학,3.6 / 4.5,840,없음,IM,0개,0회,0회,0회,0회,㈜포스코건설,플랜트
금오공과대학교,기계/자동차/조선공학,4.11 / 4.5,없음,없음,IL,0개,0회,0회,0회,0회,STX조선해양㈜,연구·실험·기술
전북대학교,기계/자동차/조선공학,3.21 / 4.5,745,없음,NH,0개,0회,0회,0회,0회,셰플러코리아(유),생산관리
중앙대학교(서울),기계/자동차/조선공학,3.16 / 4.5,755,없음,IM,0개,0회,0회,5회,2회,LG디스플레이㈜,기계·기구설계
한양대학교(서울),기계/자동차/조선공학,3.06 / 4.5,750,L5,IM,4개,0회,0회,1회,0회,씨제이모닝웰(주),기술직
중앙대학교(서울),기계/자동차/조선공학,3.13 / 4.5,740,없음,IL,0개,0회,0회,0회,0회,삼성중공업㈜,자동차·조선설계
경희대학교(서울),기계/자동차/조선공학,3.6 / 4.5,760,L6,IM,3개,0회,0회,3회,1회,현대건설㈜,플랜트
서울시립대학교,기계/자동차/조선공학,3.58 / 4.5,845,L6,IM,4개,0회,0회,0회,1회,현대모비스㈜,생산관리
명지대학교(인문),기계/자동차/조선공학,3.84 / 4.5,730,L5,IL,0개,0회,0회,0회,1회,삼성전자㈜,반도체
서울과학기술대학교,기계/자동차/조선공학,3.84 / 4.5,805,L5,없음,0개,0회,1회,3회,1회,비에이치아이㈜,품질관리
한양대학교(서울),기계/자동차/조선공학,3.35 / 4.5,880,없음,IH,0개,0회,0회,1회,0회,㈜한화/기계,기계·기구설계
인하대학교,기계/자동차/조선공학,3.72 / 4.5,740,없음,IM,4개,1회,0회,3회,0회,두산인프라코어㈜,기계
경북대학교,기계/자동차/조선공학,3.56 / 4.5,없음,없음,IL,0개,0회,0회,0회,0회,대우조선해양㈜,생산관리
경상대학교,기계/자동차/조선공학,3.75 / 4.5,800,L5,IL,1개,0회,0회,3회,2회,LG전자㈜,연구·실험·기술
한동대학교,기계/자동차/조선공학,3.41 / 4.5,930,L7,없음,2개,0회,0회,0회,0회,두산중공업㈜,기계·기구설계
숭실대학교,기계/자동차/조선공학,3.7 / 4.5,835,L6,없음,2개,0회,0회,0회,0회,삼성엔지니어링㈜,전기·전자회로
숭실대학교,기계/자동차/조선공학,3.7 / 4.5,835,L6,없음,2개,0회,0회,0회,0회,현대자동차㈜,연구·실험·기술
금오공과대학교,기계/자동차/조선공학,3.7 / 4.5,800,L6,IM,2개,1회,1회,2회,1회,삼성전자㈜,연구·실험·기술
홍익대학교(서울),기계/자동차/조선공학,3.2 / 4.5,900,L6,없음,0개,0회,1회,2회,0회,GS건설,플랜트
부산대학교(밀양),기계/자동차/조선공학,3.43 / 4.5,675,L5,없음,0개,2회,0회,1회,2회,현대모비스㈜,구매관리
인하대학교,기계/자동차/조선공학,4.28 / 4.5,750,없음,IL,0개,0회,0회,0회,0회,현대자동차㈜,연구·실험·기술
인하대학교,기계/자동차/조선공학,3.73 / 4.5,835,L6,없음,0개,0회,0회,0회,0회,LG엔시스㈜,기계
한양대학교(서울),기계/자동차/조선공학,3.55 / 4.5,820,없음,없음,0개,0회,0회,0회,0회,대림그룹,플랜트
영남대학교,기계/자동차/조선공학,3.8 / 4.5,725,없음,IM,1개,0회,0회,2회,1회,일진디스플레이(주),생산관리
인하대학교,기계/자동차/조선공학,3.65 / 4.5,790,L6,없음,3개,2회,1회,3회,3회,현대자동차㈜,연구·실험·기술
건국대학교(서울),기계/자동차/조선공학,3.32 / 4.5,800,L5,없음,0개,0회,0회,0회,0회,현대트랜시스 주식회사,생산관리
한양대학교(서울),기계/자동차/조선공학,3.41 / 4.5,925,L6,없음,0개,0회,0회,0회,0회,LG전자㈜,기계·기구설계
부경대학교,기계/자동차/조선공학,3.66 / 4.5,710,없음,IM,1개,0회,0회,0회,0회,삼성중공업㈜,자동차·조선설계
홍익대학교(서울),기계/자동차/조선공학,3.0 / 4.5,없음,L5,없음,2개,3회,0회,0회,0회,현대자동차㈜,플랜트
국민대학교,기계/자동차/조선공학,3.92 / 4.5,없음,L6,없음,0개,2회,2회,1회,0회,한국가스공사,기계
국민대학교,기계/자동차/조선공학,3.92 / 4.5,없음,L6,없음,0개,2회,2회,1회,0회,현대오일뱅크㈜,생산관리
홍익대학교(서울),기계/자동차/조선공학,3.39 / 4.5,없음,L6,IM,0개,0회,0회,0회,0회,현대자동차㈜,연구·실험·기술
국민대학교,기계/자동차/조선공학,3.89 / 4.5,665,없음,없음,1개,0회,0회,1회,0회,현대자동차㈜,생산관리
아주대학교,기계/자동차/조선공학,4.0 / 4.5,850,L6,없음,0개,0회,0회,0회,0회,현대건설㈜,기계
아주대학교,기계/자동차/조선공학,4.0 / 4.5,850,L6,없음,0개,0회,0회,0회,0회,현대중공업㈜,연구·실험·기술
단국대학교(경기),기계/자동차/조선공학,3.11 / 4.5,855,L6,없음,2개,0회,0회,1회,0회,현대자동차㈜,플랜트
울산대학교,기계/자동차/조선공학,3.81 / 4.5,840,L6,없음,0개,0회,1회,1회,0회,현대자동차㈜,플랜트
부산대학교(밀양),기계/자동차/조선공학,4.06 / 4.5,800,L5,없음,0개,0회,0회,1회,0회,현대중공업㈜,생산관리
경희대학교(서울),기계/자동차/조선공학,4.03 / 4.5,없음,L6,IL,1개,0회,1회,1회,0회,현대위아,생산관리
한국항공대학교,기계/자동차/조선공학,3.47 / 4.5,850,L6,없음,1개,0회,0회,0회,0회,㈜대한항공,연구·실험·기술
인하대학교,기계/자동차/조선공학,3.51 / 4.5,750,L6,없음,0개,0회,0회,0회,0회,현대자동차㈜,생산관리
부산대학교(밀양),기계/자동차/조선공학,3.44 / 4.5,835,L6,IM,0개,0회,0회,1회,0회,삼성전자㈜,연구·실험·기술
영남대학교,기계/자동차/조선공학,3.6 / 4.5,780,없음,IH,0개,0회,1회,2회,2회,쌍용자동차㈜,연구·실험·기술
한성대학교,기계/자동차/조선공학,3.33 / 4.5,845,없음,IH,2개,1회,0회,1회,0회,두산중공업㈜,사업기획
동아대학교,기계/자동차/조선공학,3.36 / 4.5,없음,없음,IM,3개,0회,2회,0회,1회,삼성중공업㈜,생산관리
한양대학교 공학대학원,기계/자동차/조선공학,4.45 / 4.5,985,L7,IH,0개,0회,0회,0회,0회,㈜효성,연구·실험·기술
한양대학교(서울),기계/자동차/조선공학,3.69 / 4.5,705,L6,IM,0개,0회,0회,0회,0회,포스코에너지㈜,기술직
서강대학교,기계/자동차/조선공학,3.66 / 4.5,865,L6,IM,0개,0회,0회,0회,0회,기아자동차㈜,QAA·통화품질
동아대학교,기계/자동차/조선공학,3.74 / 4.5,715,L5,NH,1개,0회,0회,0회,0회,현대위아,생산관리
경기대학교(서울),기계/자동차/조선공학,3.68 / 4.5,740,없음,IH,0개,0회,0회,1회,0회,쌍용자동차㈜,생산관리
경희대학교(서울),기계/자동차/조선공학,3.6 / 4.5,765,없음,IM,0개,0회,0회,0회,0회,금호타이어㈜,연구·실험·기술
금오공과대학교,기계/자동차/조선공학,3.47 / 4.5,없음,L5,없음,5개,0회,0회,0회,0회,삼성전자㈜,기계설비
한양대학교(서울),기계/자동차/조선공학,3.4 / 4.5,없음,L6,없음,0개,0회,0회,0회,0회,두산중공업㈜,플랜트
동국대학교(경주),기계/자동차/조선공학,3.73 / 4.5,785,L6,없음,1개,0회,0회,0회,0회,㈜효성,기계·기구설계
국민대학교,기계/자동차/조선공학,3.3 / 4.5,없음,없음,없음,0개,1회,0회,0회,0회,현대자동차㈜,생산관리
전북대학교,기계/자동차/조선공학,4.1 / 4.5,970,L7,없음,0개,0회,0회,0회,0회,삼성전자㈜,생산관리
숭실대학교,기계/자동차/조선공학,3.88 / 4.5,725,L4,IL,3개,1회,0회,0회,2회,현대자동차㈜,QAA·통화품질
아주대학교,기계/자동차/조선공학,3.5 / 4.5,925,L6,없음,0개,0회,0회,0회,1회,㈜대한항공,기술직
전북대학교,기계/자동차/조선공학,4.0 / 4.5,790,없음,없음,2개,0회,1회,0회,2회,금호타이어㈜,품질관리
인하대학교,기계/자동차/조선공학,3.82 / 4.5,800,없음,없음,0개,0회,0회,0회,0회,현대엔지니어링㈜,플랜트
충남대학교,기계/자동차/조선공학,3.62 / 4.5,675,없음,IL,0개,1회,1회,0회,1회,제일모직㈜,기계설비
한양대학교(서울),기계/자동차/조선공학,3.83 / 4.5,835,L6,IM,0개,0회,0회,0회,0회,현대모비스㈜,연구·실험·기술
한양대학교(서울),기계/자동차/조선공학,4.0 / 4.5,850,L7,IH,1개,0회,0회,1회,1회,대우조선해양㈜,사업기획
숭실대학교,기계/자동차/조선공학,3.55 / 4.5,650,L5,IM,2개,0회,0회,0회,1회,삼성전자㈜,연구·실험·기술
아주대학교,기계/자동차/조선공학,3.68 / 4.5,760,없음,IM,0개,0회,0회,0회,0회,㈜대우건설,플랜트
울산대학교,기계/자동차/조선공학,3.82 / 4.5,755,L6,없음,1개,0회,0회,0회,0회,㈜한화/기계,기계·기구설계
한양대학교(서울),기계/자동차/조선공학,3.03 / 4.5,없음,없음,IM,0개,0회,0회,0회,0회,㈜대우건설,플랜트
고려대학교(세종),기계/자동차/조선공학,3.0 / 4.5,855,L6,없음,2개,1회,0회,0회,0회,㈜한화,연구·실험·기술
인하대학교,기계/자동차/조선공학,3.08 / 4.5,765,L6,없음,1개,0회,0회,0회,0회,현대건설㈜,플랜트
부산대학교(밀양),기계/자동차/조선공학,3.52 / 4.5,없음,없음,IM,0개,0회,0회,0회,1회,현대모비스㈜,QAA·통화품질
동국대학교(경주),기계/자동차/조선공학,4.1 / 4.5,825,L6,없음,0개,0회,0회,0회,0회,㈜이랜드월드,생산관리
인하대학교,기계/자동차/조선공학,3.2 / 4.5,670,없음,없음,0개,0회,0회,0회,0회,기아자동차㈜,생산관리
경남대학교,기계/자동차/조선공학,3.95 / 4.5,815,L7,IH,3개,0회,1회,1회,1회,㈜대우건설,플랜트
중앙대학교(서울),기계/자동차/조선공학,3.81 / 4.5,없음,L6,없음,0개,0회,0회,0회,1회,LG디스플레이㈜,연구·실험·기술
인하대학교,기계/자동차/조선공학,3.8 / 4.5,835,L6,없음,4개,0회,0회,0회,0회,LG디스플레이㈜,연구·실험·기술
영남대학교,기계/자동차/조선공학,3.5 / 4.5,900,없음,AL,0개,0회,0회,1회,1회,현대엔지니어링㈜,플랜트
부산대학교(밀양),기계/자동차/조선공학,3.44 / 4.5,835,L6,IM,0개,0회,0회,1회,0회,㈜LG화학,생산관리
충남대학교,기계/자동차/조선공학,3.73 / 4.5,815,L6,없음,2개,0회,1회,1회,2회,㈜만도,생산관리
성균관대학교(자연과학),기계/자동차/조선공학,3.88 / 4.5,790,없음,없음,1개,0회,0회,0회,1회,현대오일뱅크㈜,공정관리
부경대학교,기계/자동차/조선공학,4.1 / 4.5,870,L6,없음,2개,0회,0회,0회,0회,현대파워텍㈜,생산관리
전남대학교(광주),기계/자동차/조선공학,4.0 / 4.5,900,L7,IH,3개,1회,1회,1회,1회,롯데케미칼㈜,생산관리
경상대학교,기계/자동차/조선공학,3.79 / 4.5,800,L5,IL,1개,0회,1회,2회,2회,현대파워텍㈜,생산관리
경북대학교,기계/자동차/조선공학,3.94 / 4.5,965,L7,없음,1개,0회,0회,1회,0회,롯데케미칼㈜,생산관리
홍익대학교(서울),기계/자동차/조선공학,3.68 / 4.5,없음,없음,IM,1개,0회,0회,0회,1회,삼성중공업㈜,생산관리
금오공과대학교,기계/자동차/조선공학,4.15 / 4.5,775,L6,없음,3개,4회,0회,1회,2회,넥센타이어㈜,연구·실험·기술
경북대학교,기계/자동차/조선공학,3.3 / 4.5,680,L6,IM,0개,0회,0회,1회,0회,LIG넥스원㈜,연구·실험·기술
전북대학교,기계/자동차/조선공학,3.67 / 4.5,525,없음,없음,0개,0회,0회,0회,3회,대한사료㈜,공정관리
계명대학교,기계/자동차/조선공학,4.02 / 4.5,600,없음,없음,0개,0회,0회,0회,1회,코오롱그룹,생산관리
한국항공대학교,기계/자동차/조선공학,3.21 / 4.5,600,L5,없음,0개,0회,0회,1회,1회,㈜두산(모트롤BG 창원공장),연구·실험·기술
영남대학교,기계/자동차/조선공학,4.09 / 4.5,850,L6,없음,0개,0회,0회,4회,1회,삼성엔지니어링㈜,플랜트
금오공과대학교,기계/자동차/조선공학,4.11 / 4.5,없음,없음,IL,0개,0회,0회,0회,0회,LG디스플레이㈜,연구·실험·기술
울산대학교,기계/자동차/조선공학,3.82 / 4.5,755,L6,없음,1개,0회,0회,0회,0회,현대건설㈜,플랜트
