대학명,계열,학점,토익,토스,오픽,자격증,수상경험,인턴,해외경험,봉사활동,기업명,부서
서울과학기술대학교,기계/자동차/조선공학,3.71 / 4.5,810,없음,IM,2개,0회,0회,0회,1회,한국토지주택공사,기술직
서울과학기술대학교,기계/자동차/조선공학,3.49 / 4.5,820,L6,없음,2개,0회,1회,0회,0회,현대트랜시스 주식회사,생산관리
경북대학교,기계/자동차/조선공학,3.68 / 4.5,730,없음,IM,2개,0회,0회,0회,0회,한국NSK㈜,QAA·통화품질
한양대학교(서울),기계/자동차/조선공학,3.8 / 4.5,870,L7,IH,3개,1회,1회,1회,1회,한전KPS㈜,기계
부산대학교(밀양),기계/자동차/조선공학,3.6 / 4.5,780,L6,없음,0개,0회,0회,0회,0회,한국전력기술㈜,연구·실험·기술
부산가톨릭대학교,기계/자동차/조선공학,4.0 / 4.5,870,없음,IL,0개,0회,0회,0회,0회,한국에너지공단,기계
영남대학교,기계/자동차/조선공학,3.6 / 4.5,860,L6,IH,0개,0회,1회,0회,1회,코오롱그룹,기계설비
영남대학교,기계/자동차/조선공학,3.6 / 4.5,860,L6,IH,0개,0회,1회,0회,1회,현대위아,생산관리
인하대학교,기계/자동차/조선공학,3.9 / 4.5,860,L6,없음,0개,0회,0회,0회,0회,여천NCC㈜,자동차정비
아주대학교,기계/자동차/조선공학,3.35 / 4.5,없음,L5,없음,0개,0회,0회,2회,1회,삼성전자㈜,연구·실험·기술
인하대학교,기계/자동차/조선공학,4.13 / 4.5,없음,L5,없음,0개,0회,2회,0회,0회,SK이노베이션㈜,연구·실험·기술
인하대학교,기계/자동차/조선공학,4.13 / 4.5,없음,L5,없음,0개,0회,2회,0회,0회,현대모비스㈜,연구·실험·기술
고려대학교(세종),기계/자동차/조선공학,3.11 / 4.5,없음,없음,IM,0개,0회,0회,0회,1회,현대제철㈜,생산관리
인하대학교,기계/자동차/조선공학,4.09 / 4.5,955,L6,없음,1개,1회,1회,1회,1회,한국석유공사,기술직
아주대학교,기계/자동차/조선공학,3.97 / 4.5,880,L5,없음,0개,0회,1회,0회,0회,SK하이닉스,공정관리
아주대학교,기계/자동차/조선공학,3.57 / 4.5,780,L6,없음,1개,0회,1회,0회,0회,삼성전자㈜,기계설비
아주대학교,기계/자동차/조선공학,3.97 / 4.5,880,L5,없음,0개,0회,1회,0회,0회,㈜LG화학,생산관리
인하대학교,기계/자동차/조선공학,3.76 / 4.5,840,L6,없음,0개,0회,0회,0회,0회,현대제철㈜,연구·실험·기술
한양대학교(서울),기계/자동차/조선공학,3.8 / 4.5,870,L7,IH,3개,1회,1회,1회,1회,국방기술품질원,기계
인하대학교,기계/자동차/조선공학,3.76 / 4.5,840,L6,없음,0개,1회,0회,0회,1회,삼성전자㈜,연구·실험·기술
경희대학교(서울),기계/자동차/조선공학,4.3 / 4.5,810,L6,IM,0개,0회,0회,2회,1회,LG디스플레이㈜,기계·기구설계
부경대학교,기계/자동차/조선공학,3.82 / 4.5,835,L7,없음,2개,0회,0회,1회,3회,㈜포스코,금속·철강
인하대학교,기계/자동차/조선공학,3.76 / 4.5,820,L6,없음,0개,0회,1회,0회,0회,삼성전자㈜,공정관리
서강대학교,기계/자동차/조선공학,3.58 / 4.5,없음,없음,없음,0개,0회,0회,0회,3회,에스케이이엔에스㈜,사업기획
한국항공대학교,기계/자동차/조선공학,3.5 / 4.5,800,L6,없음,0개,0회,0회,0회,0회,(주)경동나비엔,기술연구소
국민대학교,기계/자동차/조선공학,3.82 / 4.5,815,없음,없음,0개,1회,0회,0회,0회,현대자동차㈜,생산관리
충북대학교,기계/자동차/조선공학,3.71 / 4.5,615,없음,IH,3개,0회,0회,2회,1회,현대위아,구매관리
영남대학교,기계/자동차/조선공학,4.0 / 4.5,815,없음,IM,1개,0회,1회,0회,0회,LG디스플레이㈜,공정관리
부산대학교(밀양),기계/자동차/조선공학,3.6 / 4.5,870,L6,없음,0개,0회,0회,0회,0회,한화에어로스페이스,기계설비
연세대학교(서울),기계/자동차/조선공학,3.55 / 4.5,840,없음,IM,0개,0회,0회,0회,0회,국민건강보험공단,교회사무·행정·관리
부산대학교(밀양),기계/자동차/조선공학,3.6 / 4.5,780,L6,없음,0개,0회,0회,0회,0회,한국남동발전㈜,기계
울산대학교,기계/자동차/조선공학,3.88 / 4.5,880,L6,IM,3개,0회,0회,0회,0회,한국중부발전㈜,기계
부산대학교(밀양),기계/자동차/조선공학,3.6 / 4.5,780,L6,없음,0개,0회,0회,0회,0회,한전KPS㈜,기계
인하대학교,기계/자동차/조선공학,3.75 / 4.5,845,L6,없음,2개,0회,1회,2회,0회,한국항공우주산업㈜,기계·기구설계
한국항공대학교,기계/자동차/조선공학,3.41 / 4.5,770,L6,없음,0개,1회,0회,0회,1회,한전KPS㈜,기계
한국항공대학교,기계/자동차/조선공학,3.5 / 4.5,800,L6,없음,0개,0회,0회,0회,0회,현대자동차㈜,플랜트
인천대학교,기계/자동차/조선공학,3.8 / 4.5,800,L6,없음,2개,0회,0회,0회,0회,㈜셀트리온,시설관리
인천대학교,기계/자동차/조선공학,3.8 / 4.5,800,L6,없음,2개,0회,0회,0회,0회,삼성전자㈜,연구·실험·기술
건국대학교(서울),기계/자동차/조선공학,3.32 / 4.5,800,L5,없음,0개,0회,0회,0회,0회,㈜LG하우시스,생산관리
서울대학교,기계/자동차/조선공학,3.2 / 4.5,865,L6,없음,0개,0회,0회,0회,0회,㈜대한항공,기술직
서울과학기술대학교,기계/자동차/조선공학,3.32 / 4.5,825,L6,없음,1개,0회,0회,0회,0회,삼성SDI㈜,연구·실험·기술
경북대학교,기계/자동차/조선공학,3.28 / 4.5,없음,L5,IM,1개,0회,0회,0회,1회,LG전자㈜,연구·실험·기술
경북대학교,기계/자동차/조선공학,3.2 / 4.5,없음,없음,없음,0개,0회,0회,0회,0회,현대위아,생산관리
부산대학교(밀양),기계/자동차/조선공학,3.62 / 4.5,860,없음,없음,2개,0회,0회,0회,0회,현대중공업㈜,기계
한양대학교(서울),기계/자동차/조선공학,3.8 / 4.5,870,L7,IH,3개,1회,1회,1회,1회,한국철도기술연구원,기계
전남대학교(광주),기계/자동차/조선공학,3.63 / 4.5,690,L4,없음,4개,0회,0회,0회,3회,한국가스공사,기술직
영남대학교,기계/자동차/조선공학,3.7 / 4.5,810,L6,없음,0개,0회,0회,0회,0회,현대무벡스㈜,품질관리
경북대학교,기계/자동차/조선공학,3.71 / 4.5,805,L6,없음,0개,2회,0회,0회,2회,LG전자㈜,연구·실험·기술
영남대학교,기계/자동차/조선공학,3.57 / 4.5,905,L5,IL,4개,0회,0회,0회,0회,현대트랜시스 주식회사,생산관리
홍익대학교(서울),기계/자동차/조선공학,3.16 / 4.5,765,없음,IL,0개,0회,0회,0회,0회,현대모비스㈜,생산관리
한국항공대학교,기계/자동차/조선공학,3.41 / 4.5,770,L6,없음,0개,1회,0회,0회,1회,㈜대한항공,기술직
중앙대학교(서울),기계/자동차/조선공학,3.0 / 4.5,695,없음,없음,2개,0회,1회,0회,2회,롯데건설(주),건축시공
중앙대학교(서울),기계/자동차/조선공학,3.0 / 4.5,695,없음,없음,2개,0회,1회,0회,2회,뉴코아아울렛 부천점,건축시공
한국해양대학교,기계/자동차/조선공학,3.82 / 4.5,810,없음,없음,1개,0회,1회,0회,0회,현대트랜시스 주식회사,기계
한양대학교(서울),기계/자동차/조선공학,3.69 / 4.5,700,없음,없음,0개,0회,1회,0회,0회,기아자동차㈜,생산관리
경북대학교,기계/자동차/조선공학,3.28 / 4.5,없음,L5,IM,1개,0회,0회,0회,1회,삼성전자㈜,기술직
전북대학교,기계/자동차/조선공학,3.8 / 4.5,없음,L6,IM,2개,1회,1회,5회,0회,LG이노텍㈜,연구·실험·기술
전북대학교,기계/자동차/조선공학,3.8 / 4.5,없음,L6,IM,2개,1회,1회,0회,1회,현대자동차㈜,연구·실험·기술
국민대학교,기계/자동차/조선공학,3.74 / 4.5,765,없음,IM,0개,1회,0회,1회,0회,삼성전자㈜,연구·실험·기술
부산가톨릭대학교,기계/자동차/조선공학,4.0 / 4.5,870,없음,IL,0개,0회,0회,0회,0회,대원강업㈜,품질관리
부산가톨릭대학교,기계/자동차/조선공학,4.0 / 4.5,870,없음,IL,0개,0회,0회,0회,0회,한국지역난방공사,기계
중앙대학교(서울),기계/자동차/조선공학,3.4 / 4.5,925,없음,IH,1개,3회,0회,0회,1회,현대자동차㈜,연구·실험·기술
전북대학교,기계/자동차/조선공학,3.4 / 4.5,750,L6,없음,0개,0회,0회,0회,1회,한국수력원자력㈜,기술직
아주대학교,기계/자동차/조선공학,3.69 / 4.5,650,없음,IL,0개,0회,0회,0회,0회,㈜퍼시스,생산관리
전남대학교(광주),기계/자동차/조선공학,4.0 / 4.5,800,없음,IM,0개,0회,0회,0회,0회,금호타이어㈜,생산관리
전남대학교(광주),기계/자동차/조선공학,4.0 / 4.5,950,L6,IH,2개,0회,0회,0회,0회,세방전지㈜,품질관리
영남대학교,기계/자동차/조선공학,4.23 / 4.5,770,L6,없음,3개,0회,0회,0회,0회,한전원자력연료㈜,기계
경희대학교(서울),기계/자동차/조선공학,3.0 / 4.5,없음,L6,없음,1개,0회,0회,0회,0회,㈜우리은행,금융자산관리사
서울시립대학교,기계/자동차/조선공학,3.71 / 4.5,935,L6,없음,0개,0회,0회,0회,0회,㈜LG화학,생산관리
건국대학교(서울),기계/자동차/조선공학,3.5 / 4.5,850,없음,IM,0개,0회,0회,0회,0회,삼성엔지니어링㈜,플랜트
한양대학교(서울),기계/자동차/조선공학,3.8 / 4.5,870,L7,IH,3개,1회,1회,1회,1회,삼성디스플레이㈜,기술직
